timestamp,sensor_type,location,channel,value_x,value_y,value_z,roll,pitch,yaw,raw_signal
0,MPU6050,left_hip,acc,0.06086159698597369,-0.08749619128646778,9.8,0.0,10.0,0.0,
10,MPU6050,left_hip,acc,-0.002019632202405491,0.028009281074672505,9.837599970069292,0.4183892166615774,11.879998503464563,0.1395129474882506,
20,MPU6050,left_hip,acc,0.01203415166320742,0.012304093469549304,9.874606966149457,0.8338437335805113,13.730348307472823,0.27834620192013093,
30,MPU6050,left_hip,acc,0.033277075111051165,-0.052177441988516815,9.910437365805404,1.243449435824274,15.52186829027017,0.4158233816355187,
40,MPU6050,left_hip,acc,0.019308760270328088,0.11147281498337525,9.944526102230515,1.6443332336929162,17.22630511152573,0.5512747116339984,
50,MPU6050,left_hip,acc,-0.04567652136654366,0.10930990224657477,9.976335575687743,2.033683215379001,18.816778784387097,0.6840402866513375,
60,MPU6050,left_hip,acc,0.05671778114153347,-0.11189075787239225,10.005364131778608,2.4087683705085756,20.26820658893033,0.8134732861516004,
70,MPU6050,left_hip,acc,-0.11186915712622843,0.09263273529557915,10.031153972832737,2.766957746216719,21.55769864163684,0.9389431255717814,
80,MPU6050,left_hip,acc,-0.08172869687508591,-0.14931179056034083,10.053298377650606,3.105738901391551,22.664918882530227,1.0598385284664098,
90,MPU6050,left_hip,acc,-0.09078994970412074,0.15094652982718132,10.071448115739807,3.4227355296434436,23.57240578699029,1.175570504584946,
100,MPU6050,left_hip,acc,0.11632859776948551,-0.007715373481836445,10.085316954888548,3.715724127386972,24.265847744427305,1.2855752193730785,
110,MPU6050,left_hip,acc,0.14209508101703586,0.09361723978623064,10.094686175218607,3.9826495901209826,24.734308760930332,1.3893167409179947,
120,MPU6050,left_hip,acc,0.16354879398213076,0.17332157418824298,10.099408018528482,4.221639627510075,24.970400926424073,1.4862896509547885,
130,MPU6050,left_hip,acc,-0.081825760052685,0.04264744485652037,10.099408018528482,4.431017896156073,24.970400926424077,1.576021507213444,
140,MPU6050,left_hip,acc,0.14294854653034075,-0.047352824334609356,10.094686175218607,4.609315757942502,24.734308760930332,1.6580751451100835,
150,MPU6050,left_hip,acc,-0.1431196677601793,-0.024976980633946357,10.085316954888548,4.755282581475768,24.265847744427305,1.732050807568877,
160,MPU6050,left_hip,acc,0.11245218528334376,0.008403975233876673,10.071448115739807,4.867894514365802,23.57240578699029,1.7975880925983336,
170,MPU6050,left_hip,acc,0.07139110683361614,0.032812288345348536,10.053298377650606,4.946361664814941,22.66491888253023,1.8543677091335746,
180,MPU6050,left_hip,acc,0.11388850432215901,-0.08553507106103188,10.031153972832737,4.990133642141358,21.55769864163684,1.9021130325903073,
190,MPU6050,left_hip,acc,-0.11120727431050162,0.12245557140633057,10.005364131778608,4.998903417374228,20.26820658893033,1.9405914525519934,
200,MPU6050,left_hip,acc,-0.051070970825268604,-0.02986741285800823,9.976335575687743,4.972609476841367,18.816778784387097,1.969615506024416,
210,MPU6050,left_hip,acc,0.09242050555993157,0.027301485135753967,9.944526102230515,4.911436253643443,17.226305111525726,1.9890437907365466,
220,MPU6050,left_hip,acc,0.03269318385547296,0.14007945051616885,9.910437365805404,4.815812833988292,15.521868290270167,1.998781654038192,
230,MPU6050,left_hip,acc,-0.1251617563605289,0.0440292231160473,9.874606966149457,4.686409947459458,13.730348307472823,1.998781654038192,
240,MPU6050,left_hip,acc,0.006262636302228258,-0.00010610799590199014,9.837599970069292,4.524135262330098,11.879998503464568,1.9890437907365466,
250,MPU6050,left_hip,acc,-0.13142775125251077,-0.02740798769948638,9.8,4.330127018922194,10.000000000000002,1.9696155060244163,
260,MPU6050,left_hip,acc,-0.17055096941464842,-0.18763263568934863,9.76240002993071,4.10574604566852,8.120001496535442,1.9405914525519934,
270,MPU6050,left_hip,acc,0.0025486629674431943,0.2830571443489546,9.725393033850544,3.852566213878947,6.26965169252718,1.9021130325903075,
280,MPU6050,left_hip,acc,0.0033346731227503292,0.06590771712449782,9.689562634194598,3.5723633981640184,4.478131709729831,1.8543677091335748,
290,MPU6050,left_hip,acc,-0.03667843323012437,0.08280850316668331,9.655473897769486,3.267103019950528,2.7736948884742754,1.797588092598334,
300,MPU6050,left_hip,acc,-0.06011285267923166,-0.11260329522845054,9.62366442431226,2.938926261462366,1.1832212156129067,1.7320508075688774,
310,MPU6050,left_hip,acc,0.006586295013088966,0.049474607897506434,9.594635868221394,2.59013504686565,-0.26820658893033134,1.6580751451100837,
320,MPU6050,left_hip,acc,-0.007815743356274203,-0.07586558495815082,9.568846027167265,2.223175895924639,-1.5576986416368417,1.5760215072134443,
330,MPU6050,left_hip,acc,-0.004799209286320676,0.031544737364403976,9.546701622349396,1.8406227634233907,-2.6649188825302215,1.4862896509547892,
340,MPU6050,left_hip,acc,-0.015968439354774103,0.05779600825779462,9.528551884260194,1.4451589847223585,-3.572405786990288,1.3893167409179945,
350,MPU6050,left_hip,acc,0.022878825252066907,0.06331028113377322,9.514683045111454,1.0395584540887988,-4.265847744427303,1.285575219373079,
